customer_id,signup_date,initial_plan,internet_service,payment_method,acquisition_channel,cac
5027-XWQHA,2023-07-01,Month-to-month,DSL,Electronic check,organic,15.0
6248-TKCQV,2018-03-01,Two year,DSL,Bank transfer (automatic),paid_social,231.46
6729-GDNGC,2022-05-01,Month-to-month,Fiber optic,Bank transfer (automatic),paid_search,115.2
6198-ZFIOJ,2023-08-01,Month-to-month,Fiber optic,Electronic check,paid_search,125.07
5989-OMNJE,2022-01-01,One year,DSL,Electronic check,paid_search,78.96
4566-QVRRW,2023-02-01,Month-to-month,DSL,Electronic check,paid_social,239.26
1291-CUOCY,2018-01-01,Two year,Fiber optic,Credit card (automatic),referral,29.56
9795-SHUHB,2018-07-01,Two year,DSL,Credit card (automatic),paid_search,112.58
3230-IUALN,2020-04-01,Two year,DSL,Mailed check,organic,29.13
0042-RLHYP,2018-04-01,Two year,No,Bank transfer (automatic),referral,75.02
8519-IMDHU,2022-10-01,Month-to-month,Fiber optic,Bank transfer (automatic),paid_search,172.16
4945-RVMTE,2021-09-01,Month-to-month,DSL,Bank transfer (automatic),organic,46.24
0201-OAMXR,2018-03-01,One year,Fiber optic,Credit card (automatic),organic,34.6
1866-NXPSP,2021-01-01,One year,DSL,Mailed check,paid_search,177.52
3372-KWFBM,2022-09-01,Month-to-month,Fiber optic,Electronic check,paid_social,248.71
7831-QGOXH,2022-07-01,Month-to-month,Fiber optic,Electronic check,paid_search,158.97
6393-WRYZE,2021-03-01,Month-to-month,Fiber optic,Electronic check,referral,49.31
3941-XTSKM,2020-07-01,One year,DSL,Credit card (automatic),paid_search,147.63
1661-CZBAU,2020-01-01,One year,DSL,Bank transfer (automatic),organic,40.72
6599-RCLCJ,2020-02-01,Month-to-month,Fiber optic,Electronic check,paid_search,154.65
9831-BPFRI,2020-10-01,One year,Fiber optic,Electronic check,paid_search,152.17
5158-RIVOP,2023-02-01,Two year,No,Credit card (automatic),paid_search,97.42
9788-YTFGE,2023-06-01,Month-to-month,No,Mailed check,referral,20.0
9277-JOOMO,2023-10-01,Month-to-month,No,Mailed check,organic,23.13
1907-YLNYW,2023-05-01,Month-to-month,DSL,Electronic check,paid_search,118.65
1725-MIMXW,2023-12-01,Month-to-month,No,Mailed check,referral,59.83
8947-YRTDV,2021-05-01,One year,Fiber optic,Mailed check,paid_search,169.38
3161-ONRWK,2019-01-01,One year,DSL,Bank transfer (automatic),referral,74.34
0114-RSRRW,2023-03-01,Month-to-month,No,Bank transfer (automatic),organic,54.17
4565-NLZBV,2018-02-01,Two year,No,Bank transfer (automatic),referral,65.86
0031-PVLZI,2023-09-01,Month-to-month,No,Mailed check,paid_search,169.26
7206-GZCDC,2023-12-01,Month-to-month,Fiber optic,Electronic check,paid_social,190.54
6682-VCIXC,2020-06-01,One year,DSL,Bank transfer (automatic),paid_social,195.5
4791-QRGMF,2019-02-01,One year,Fiber optic,Bank transfer (automatic),organic,44.85
6475-VHUIZ,2022-02-01,Month-to-month,DSL,Electronic check,paid_search,146.08
3910-MRQOY,2018-01-01,Two year,No,Bank transfer (automatic),organic,38.76
0661-WCQNQ,2022-03-01,One year,DSL,Credit card (automatic),paid_search,132.51
7537-RBWEA,2023-12-01,Month-to-month,DSL,Mailed check,referral,86.02
4656-CAURT,2018-04-01,Two year,No,Bank transfer (automatic),referral,58.84
0121-SNYRK,2019-11-01,One year,DSL,Mailed check,referral,69.5
1768-ZAIFU,2023-12-01,Month-to-month,DSL,Electronic check,referral,45.84
4671-LXRDQ,2023-11-01,Month-to-month,DSL,Mailed check,paid_search,130.66
3733-LSYCE,2022-10-01,Month-to-month,Fiber optic,Bank transfer (automatic),paid_search,126.75
6265-FRMTQ,2021-06-01,Two year,No,Bank transfer (automatic),paid_search,117.3
1934-SJVJK,2023-12-01,Month-to-month,No,Mailed check,referral,63.09
3838-OZURD,2018-07-01,Month-to-month,Fiber optic,Credit card (automatic),paid_search,92.63
1371-DWPAZ,2024-01-01,Two year,DSL,Credit card (automatic),referral,83.25
9269-CQOOL,2023-10-01,Month-to-month,DSL,Credit card (automatic),paid_search,143.82
2017-CCBLH,2023-05-01,Two year,No,Mailed check,referral,68.12
7690-KPNCU,2018-09-01,One year,DSL,Credit card (automatic),paid_search,128.99
0536-BGFMZ,2021-09-01,Month-to-month,No,Mailed check,organic,43.08
2293-IJWPS,2019-04-01,One year,Fiber optic,Credit card (automatic),referral,63.09
2845-HSJCY,2022-11-01,Month-to-month,Fiber optic,Electronic check,organic,42.22
5469-NUJUR,2022-06-01,Two year,No,Mailed check,referral,31.55
1184-PJVDB,2023-03-01,Month-to-month,Fiber optic,Electronic check,organic,52.86
2625-TRCZQ,2019-10-01,Month-to-month,DSL,Electronic check,paid_search,134.86
4102-HLENU,2018-06-01,Two year,DSL,Mailed check,paid_social,233.34
7266-GSSJX,2023-02-01,Month-to-month,No,Electronic check,referral,55.14
7722-VJRQD,2018-01-01,Two year,DSL,Bank transfer (automatic),organic,41.1
7073-QETQY,2018-07-01,One year,No,Electronic check,paid_search,182.45
9415-DPEWS,2022-07-01,Month-to-month,Fiber optic,Electronic check,organic,24.6
5624-RYAMH,2023-04-01,Month-to-month,No,Electronic check,paid_social,206.17
0196-JTUQI,2023-04-01,Month-to-month,Fiber optic,Credit card (automatic),organic,36.5
7130-YXBRO,2020-01-01,Month-to-month,Fiber optic,Bank transfer (automatic),referral,41.69
9272-LSVYH,2023-03-01,Month-to-month,Fiber optic,Mailed check,referral,72.15
7943-RQCHR,2023-04-01,Month-to-month,Fiber optic,Electronic check,organic,51.57
3793-MMFUH,2022-12-01,Month-to-month,Fiber optic,Electronic check,referral,49.8
3249-ZPQRG,2023-09-01,Month-to-month,Fiber optic,Electronic check,organic,44.58
2568-BRGYX,2023-09-01,Month-to-month,Fiber optic,Electronic check,paid_search,154.75
3084-DOWLE,2018-01-01,Two year,DSL,Bank transfer (automatic),paid_social,219.47
1084-MNSMJ,2019-10-01,Two year,DSL,Credit card (automatic),referral,66.03
7721-JXEAW,2019-02-01,Month-to-month,DSL,Bank transfer (automatic),paid_search,122.81
7249-WBIYX,2023-03-01,Month-to-month,Fiber optic,Electronic check,organic,34.89
4238-HFHSN,2018-12-01,Month-to-month,Fiber optic,Electronic check,paid_search,154.47
6250-CGGUN,2019-07-01,One year,Fiber optic,Electronic check,referral,45.92
5478-JJVZK,2021-04-01,Month-to-month,DSL,Mailed check,organic,44.97
7596-IIWYC,2021-10-01,Two year,No,Bank transfer (automatic),paid_social,254.59
6567-HOOPW,2023-12-01,Month-to-month,Fiber optic,Electronic check,paid_search,103.01
9793-WECQC,2022-02-01,Month-to-month,Fiber optic,Mailed check,organic,40.14
4291-HPAXL,2023-12-01,Month-to-month,No,Mailed check,organic,44.97
8999-YPYBV,2020-04-01,Two year,DSL,Mailed check,paid_social,235.61
1839-FBNFR,2020-10-01,Two year,No,Bank transfer (automatic),paid_social,285.59
3164-AALRN,2023-08-01,One year,DSL,Mailed check,paid_search,166.1
3071-MVJCD,2018-01-01,Two year,DSL,Bank transfer (automatic),paid_social,232.09
1697-BCSHV,2019-03-01,Month-to-month,DSL,Bank transfer (automatic),paid_social,281.66
0562-KBDVM,2018-03-01,Two year,DSL,Bank transfer (automatic),paid_search,146.64
1131-SUEKT,2018-12-01,One year,Fiber optic,Bank transfer (automatic),paid_search,135.35
3717-OEAUQ,2023-11-01,Month-to-month,Fiber optic,Mailed check,organic,23.48
4538-WNTMJ,2020-03-01,One year,No,Mailed check,referral,88.52
3334-CTHOL,2023-12-01,Month-to-month,DSL,Bank transfer (automatic),paid_search,154.24
4704-ERYFC,2022-03-01,Month-to-month,Fiber optic,Electronic check,paid_social,259.17
9432-RUVSL,2020-01-01,Two year,Fiber optic,Credit card (automatic),referral,43.4
8060-HIWJJ,2018-09-01,Two year,DSL,Credit card (automatic),referral,62.73
7684-XSZIY,2018-01-01,Two year,No,Bank transfer (automatic),organic,30.22
9089-UOWJG,2023-01-01,Month-to-month,DSL,Credit card (automatic),paid_search,176.09
8621-MNIHH,2021-03-01,Month-to-month,Fiber optic,Electronic check,referral,99.49
8039-ACLPL,2018-01-01,Two year,DSL,Credit card (automatic),paid_search,128.67
9885-AIBVB,2021-08-01,Month-to-month,Fiber optic,Electronic check,organic,45.52
1934-MKPXS,2021-04-01,One year,No,Credit card (automatic),paid_search,115.73
2592-YKDIF,2023-12-01,Month-to-month,No,Mailed check,paid_search,192.36
2272-JKMSI,2018-11-01,One year,Fiber optic,Electronic check,referral,63.87
0471-LVHGK,2020-08-01,One year,DSL,Electronic check,organic,36.82
9518-RWHZL,2018-09-01,One year,Fiber optic,Credit card (automatic),referral,47.82
8714-CTZJW,2023-09-01,Month-to-month,Fiber optic,Credit card (automatic),paid_search,140.52
3569-EDBPQ,2022-01-01,Month-to-month,Fiber optic,Electronic check,organic,42.44
3131-NWVFJ,2022-11-01,One year,No,Mailed check,organic,58.16
7521-YXVZY,2023-10-01,Month-to-month,No,Mailed check,referral,69.77
5419-CONWX,2023-09-01,Month-to-month,Fiber optic,Credit card (automatic),organic,35.95
6240-EURKS,2022-07-01,Month-to-month,DSL,Electronic check,paid_social,310.91
2373-NTKOD,2023-05-01,Month-to-month,DSL,Electronic check,paid_social,222.74
1970-KKFWL,2021-02-01,Two year,No,Bank transfer (automatic),paid_social,219.24
6960-HVYXR,2023-12-01,Month-to-month,Fiber optic,Electronic check,paid_social,267.82
9337-SRRNI,2018-07-01,Two year,No,Credit card (automatic),paid_search,177.05
0895-UADGO,2023-05-01,Two year,DSL,Mailed check,organic,41.37
5678-VFNEQ,2018-02-01,One year,Fiber optic,Credit card (automatic),paid_social,204.37
5977-CKHON,2020-06-01,Month-to-month,Fiber optic,Bank transfer (automatic),paid_search,123.43
7024-OHCCK,2023-11-01,Month-to-month,Fiber optic,Electronic check,paid_search,149.48
2692-BUCFV,2021-08-01,Month-to-month,Fiber optic,Bank transfer (automatic),paid_search,124.28
7861-UVUFT,2022-10-01,Month-to-month,Fiber optic,Electronic check,paid_social,206.22
1830-GGFNM,2018-08-01,Two year,Fiber optic,Credit card (automatic),organic,33.55
5302-BDJNT,2021-02-01,Month-to-month,Fiber optic,Electronic check,paid_search,155.78
5223-UZAVK,2018-09-01,One year,Fiber optic,Credit card (automatic),referral,75.34
4859-ZSRDZ,2019-03-01,Two year,DSL,Credit card (automatic),referral,73.56
5651-WYIPH,2022-07-01,Month-to-month,DSL,Credit card (automatic),referral,31.62
9350-VLHMB,2018-06-01,Month-to-month,Fiber optic,Bank transfer (automatic),organic,32.89
3498-LZGQZ,2018-10-01,Two year,No,Mailed check,referral,63.9
8785-CJSHH,2019-01-01,Month-to-month,Fiber optic,Electronic check,referral,29.29
5357-TZHPP,2023-04-01,Month-to-month,Fiber optic,Credit card (automatic),referral,88.74
3870-SPZSI,2018-03-01,Two year,Fiber optic,Credit card (automatic),paid_social,231.05
0680-DFNNY,2022-10-01,Month-to-month,Fiber optic,Electronic check,paid_search,133.29
7560-QRBXH,2020-01-01,One year,No,Mailed check,paid_search,123.56
7077-XJMET,2023-01-01,Month-to-month,DSL,Electronic check,paid_social,235.62
8752-GHJFU,2018-02-01,One year,Fiber optic,Electronic check,organic,38.27
6896-SRVYQ,2020-05-01,Month-to-month,Fiber optic,Electronic check,referral,61.76
7767-UXAGJ,2023-12-01,Month-to-month,DSL,Electronic check,organic,24.8
4652-ODEVH,2020-04-01,Two year,No,Mailed check,referral,53.9
6510-UPNKS,2022-02-01,One year,No,Credit card (automatic),paid_social,173.65
6718-BDGHG,2020-06-01,One year,DSL,Bank transfer (automatic),organic,18.43
9046-DQMTP,2021-02-01,Month-to-month,No,Bank transfer (automatic),paid_search,178.48
6439-LAJXL,2023-04-01,Month-to-month,DSL,Mailed check,paid_social,231.47
1571-SAVHK,2023-01-01,Month-to-month,Fiber optic,Mailed check,referral,70.65
9052-VKDUW,2018-08-01,Month-to-month,Fiber optic,Credit card (automatic),paid_search,148.51
9546-CQJSU,2023-11-01,Month-to-month,Fiber optic,Electronic check,referral,67.92
1666-JZPZT,2021-10-01,Month-to-month,DSL,Mailed check,referral,43.19
5777-KJIRB,2020-09-01,One year,DSL,Mailed check,referral,84.74
0506-LVNGN,2023-08-01,Month-to-month,Fiber optic,Credit card (automatic),organic,52.35
7677-SJJJK,2023-05-01,One year,No,Credit card (automatic),referral,57.13
2480-EJWYP,2019-03-01,One year,Fiber optic,Bank transfer (automatic),referral,34.71
3253-HKOKL,2019-09-01,One year,Fiber optic,Electronic check,paid_social,211.83
7055-HNEOJ,2023-10-01,Month-to-month,DSL,Mailed check,referral,81.43
5514-YQENT,2020-08-01,Two year,Fiber optic,Electronic check,organic,37.99
3211-AAPKX,2022-05-01,Month-to-month,Fiber optic,Mailed check,paid_social,221.75
8445-DNBAE,2023-12-01,Month-to-month,DSL,Electronic check,organic,49.99
2951-QOQTK,2023-09-01,Month-to-month,Fiber optic,Credit card (automatic),paid_social,228.86
2958-NHPPS,2022-02-01,Month-to-month,No,Electronic check,paid_social,216.12
6806-YDEUL,2023-07-01,Month-to-month,No,Bank transfer (automatic),paid_search,89.91
1735-XMJVH,2023-05-01,Month-to-month,No,Mailed check,referral,83.41
6890-PFRQX,2022-07-01,Month-to-month,DSL,Mailed check,organic,40.2
0222-CNVPT,2019-09-01,Month-to-month,DSL,Credit card (automatic),organic,40.46
5899-OUVKV,2021-06-01,Month-to-month,Fiber optic,Electronic check,organic,45.56
8681-ICONS,2021-08-01,Month-to-month,No,Mailed check,referral,79.3
1621-YNCJH,2021-01-01,Two year,Fiber optic,Credit card (automatic),referral,68.85
3473-XIIIT,2022-09-01,Month-to-month,Fiber optic,Electronic check,paid_social,260.17
6362-QHAFM,2020-07-01,One year,Fiber optic,Electronic check,referral,47.52
7893-IXHRQ,2023-12-01,Month-to-month,No,Electronic check,paid_social,239.82
3070-BDOQC,2019-01-01,Two year,Fiber optic,Electronic check,paid_search,134.29
2952-QAYZF,2023-08-01,Month-to-month,Fiber optic,Electronic check,organic,46.02
6234-PFPXL,2022-03-01,Month-to-month,Fiber optic,Credit card (automatic),paid_search,117.41
9824-QCJPK,2021-01-01,One year,No,Mailed check,organic,27.24
4763-PGDPO,2023-09-01,Month-to-month,Fiber optic,Electronic check,organic,50.81
4283-IVYCI,2023-04-01,Month-to-month,DSL,Mailed check,paid_social,216.39
1866-OBPNR,2023-12-01,Month-to-month,Fiber optic,Credit card (automatic),referral,74.61
8205-MQUGY,2023-01-01,Month-to-month,DSL,Electronic check,organic,29.52
8970-ANWXO,2022-02-01,One year,DSL,Mailed check,organic,40.99
9480-BQJEI,2018-11-01,One year,Fiber optic,Bank transfer (automatic),paid_search,109.96
5394-SVGJV,2020-12-01,Month-to-month,Fiber optic,Bank transfer (automatic),referral,88.27
6979-TNDEU,2023-05-01,Month-to-month,No,Mailed check,organic,63.98
9777-WJJPR,2021-06-01,Month-to-month,Fiber optic,Credit card (automatic),paid_search,125.66
9283-LZQOH,2022-12-01,Month-to-month,Fiber optic,Credit card (automatic),organic,39.79
7079-QRCBC,2022-01-01,Month-to-month,Fiber optic,Electronic check,paid_search,128.28
9495-SKLKD,2020-04-01,Month-to-month,Fiber optic,Bank transfer (automatic),referral,72.8
6048-UWKAL,2018-04-01,Two year,Fiber optic,Credit card (automatic),referral,84.46
5067-DGXLL,2023-11-01,Month-to-month,No,Mailed check,referral,49.25
5469-CTCWN,2018-12-01,One year,Fiber optic,Electronic check,paid_search,140.92
9851-QXEEQ,2020-08-01,Month-to-month,Fiber optic,Electronic check,paid_social,225.61
6281-FKEWS,2020-05-01,One year,DSL,Electronic check,paid_search,120.45
8898-KASCD,2020-10-01,One year,DSL,Mailed check,organic,55.3
9242-TKFSV,2018-01-01,Two year,DSL,Credit card (automatic),referral,75.85
9290-SHCMB,2022-12-01,Month-to-month,Fiber optic,Electronic check,organic,35.61
0743-HNPFG,2019-10-01,One year,DSL,Credit card (automatic),organic,45.01
2277-BKJKN,2018-02-01,Two year,Fiber optic,Electronic check,organic,39.51
9809-IMGCQ,2022-03-01,Month-to-month,Fiber optic,Electronic check,organic,43.09
5208-HFSBT,2023-11-01,Month-to-month,DSL,Credit card (automatic),paid_social,259.19
5035-PGZXH,2019-05-01,One year,Fiber optic,Electronic check,paid_search,93.99
8695-WDYEA,2023-12-01,Month-to-month,DSL,Mailed check,paid_social,250.4
6543-JXSOO,2022-02-01,One year,DSL,Mailed check,paid_search,126.82
8016-ZMGMO,2018-07-01,One year,DSL,Bank transfer (automatic),referral,74.64
8605-ITULD,2023-12-01,Month-to-month,No,Mailed check,referral,38.65
3254-YRILK,2022-06-01,Month-to-month,Fiber optic,Electronic check,referral,36.63
6416-YJTTB,2023-02-01,Month-to-month,Fiber optic,Bank transfer (automatic),organic,30.66
2667-WYLWJ,2023-05-01,One year,No,Mailed check,referral,50.07
4472-VESGY,2019-09-01,Month-to-month,Fiber optic,Bank transfer (automatic),paid_search,161.87
3195-TQDZX,2023-10-01,Month-to-month,No,Electronic check,organic,30.04
3128-YOVTD,2019-10-01,Month-to-month,Fiber optic,Bank transfer (automatic),organic,42.29
0529-ONKER,2022-10-01,Month-to-month,Fiber optic,Electronic check,referral,61.96
1728-CXQBE,2018-09-01,Month-to-month,Fiber optic,Electronic check,paid_search,106.26
7041-TXQJH,2020-12-01,Month-to-month,DSL,Credit card (automatic),paid_search,155.4
5014-GSOUQ,2022-12-01,Two year,No,Mailed check,paid_search,151.44
5724-BIDBU,2019-12-01,One year,DSL,Electronic check,organic,23.75
0481-SUMCB,2020-04-01,One year,Fiber optic,Bank transfer (automatic),organic,30.77
1769-GRUIK,2022-07-01,Month-to-month,Fiber optic,Electronic check,referral,67.48
5240-IJOQT,2023-12-01,Month-to-month,Fiber optic,Electronic check,organic,45.28
8819-WFGGJ,2018-05-01,Two year,DSL,Bank transfer (automatic),paid_search,128.97
7427-AUFPY,2019-07-01,Two year,No,Credit card (automatic),paid_social,267.19
2811-POVEX,2022-02-01,Month-to-month,Fiber optic,Bank transfer (automatic),paid_search,147.74
1092-GANHU,2022-08-01,Month-to-month,Fiber optic,Electronic check,organic,33.0
7898-PDWQE,2018-02-01,Two year,DSL,Credit card (automatic),organic,30.34
9972-EWRJS,2018-06-01,Two year,No,Bank transfer (automatic),paid_social,218.35
9314-IJWSQ,2022-11-01,Month-to-month,Fiber optic,Electronic check,paid_social,227.98
0661-XEYAN,2023-12-01,Month-to-month,DSL,Mailed check,paid_search,121.5
5799-JRCZO,2018-10-01,Two year,No,Credit card (automatic),referral,57.41
1921-KYSAY,2020-08-01,One year,DSL,Electronic check,referral,59.8
6198-RTPMF,2022-08-01,Month-to-month,Fiber optic,Electronic check,paid_search,130.15
2924-KHUVI,2019-05-01,One year,Fiber optic,Electronic check,paid_social,293.25
1925-GMVBW,2023-08-01,Month-to-month,No,Credit card (automatic),referral,59.09
7881-EVUAD,2023-11-01,Month-to-month,DSL,Electronic check,organic,28.19
6184-DYUOB,2023-10-01,Month-to-month,No,Mailed check,organic,40.45
9207-ZPANB,2020-12-01,One year,DSL,Electronic check,organic,35.46
5766-XQXMQ,2021-08-01,Month-to-month,DSL,Bank transfer (automatic),paid_social,221.95
9327-QSDED,2023-05-01,Month-to-month,DSL,Mailed check,paid_search,114.74
1656-DRSMG,2018-10-01,Month-to-month,Fiber optic,Credit card (automatic),paid_social,281.77
3012-VFFMN,2023-06-01,Month-to-month,No,Mailed check,organic,40.48
2984-AFWNC,2023-10-01,Month-to-month,Fiber optic,Electronic check,referral,62.08
0640-YJTPY,2018-01-01,Two year,No,Bank transfer (automatic),paid_search,151.59
8096-LOIST,2022-06-01,Month-to-month,DSL,Electronic check,paid_search,174.04
9764-REAFF,2019-02-01,Two year,No,Bank transfer (automatic),organic,37.18
3703-VAVCL,2023-11-01,Month-to-month,Fiber optic,Credit card (automatic),referral,69.45
7107-UBYKY,2021-02-01,Month-to-month,No,Electronic check,paid_search,123.22
4881-GQJTW,2022-11-01,Month-to-month,No,Credit card (automatic),paid_search,169.74
8519-QJGJD,2022-11-01,Month-to-month,Fiber optic,Electronic check,referral,68.14
7876-DNYAP,2018-04-01,Two year,No,Credit card (automatic),organic,57.09
7905-NJMXS,2023-06-01,Month-to-month,DSL,Electronic check,paid_social,252.7
2882-WDTBA,2018-04-01,Two year,DSL,Bank transfer (automatic),referral,59.96
2091-GPPIQ,2018-01-01,Two year,DSL,Electronic check,paid_search,87.1
6326-MTTXK,2023-05-01,Month-to-month,Fiber optic,Electronic check,referral,64.63
5071-FBJFS,2023-09-01,Month-to-month,DSL,Electronic check,organic,34.76
2796-UUZZO,2018-10-01,Month-to-month,Fiber optic,Credit card (automatic),organic,19.9
2429-AYKKO,2018-01-01,Two year,No,Bank transfer (automatic),organic,40.15
9798-OPFEM,2020-03-01,Two year,No,Electronic check,organic,39.04
0330-IVZHA,2023-08-01,Month-to-month,Fiber optic,Electronic check,organic,40.54
3794-NFNCH,2021-07-01,Month-to-month,DSL,Mailed check,referral,54.08
5193-QLVZB,2018-10-01,Two year,Fiber optic,Bank transfer (automatic),referral,72.62
7114-AEOZE,2019-01-01,Two year,No,Bank transfer (automatic),referral,53.29
2886-KEFUM,2018-10-01,One year,Fiber optic,Electronic check,paid_social,208.44
5522-NYKPB,2021-12-01,Month-to-month,Fiber optic,Electronic check,organic,23.35
4237-RLAQD,2023-12-01,Month-to-month,DSL,Mailed check,organic,50.07
9957-YODKZ,2023-07-01,Month-to-month,Fiber optic,Electronic check,paid_social,174.75
6518-KZXCB,2022-03-01,Two year,No,Mailed check,referral,85.19
2245-ADZFJ,2021-06-01,Two year,DSL,Bank transfer (automatic),referral,60.43
7776-QGYJC,2020-10-01,Month-to-month,Fiber optic,Bank transfer (automatic),organic,38.71
9313-QOLTZ,2021-11-01,Month-to-month,No,Mailed check,referral,64.87
9651-GTSAQ,2019-08-01,One year,Fiber optic,Bank transfer (automatic),organic,38.6
3186-BAXNB,2023-12-01,Month-to-month,Fiber optic,Electronic check,paid_social,245.51
4672-FOTSD,2023-01-01,Month-to-month,DSL,Electronic check,paid_social,198.92
0637-YLETY,2022-09-01,Month-to-month,Fiber optic,Credit card (automatic),referral,49.48
9818-XQCUV,2023-11-01,Month-to-month,No,Mailed check,organic,23.58
7338-ERIVA,2020-10-01,One year,DSL,Bank transfer (automatic),paid_social,198.82
1157-BQCUW,2023-12-01,Month-to-month,Fiber optic,Electronic check,organic,43.64
8259-NFJTV,2023-06-01,Month-to-month,DSL,Mailed check,paid_search,118.08
3223-DWFIO,2023-09-01,Month-to-month,Fiber optic,Electronic check,paid_social,163.3
2660-EMUBI,2023-03-01,Month-to-month,Fiber optic,Electronic check,paid_search,114.93
6968-GMKPR,2019-06-01,Month-to-month,Fiber optic,Electronic check,paid_social,264.76
4751-ERMAN,2018-01-01,Two year,DSL,Bank transfer (automatic),referral,55.66
1436-ZMJAN,2023-03-01,Month-to-month,DSL,Credit card (automatic),paid_social,227.08
3292-PBZEJ,2023-02-01,Month-to-month,Fiber optic,Electronic check,referral,63.24
0799-DDIHE,2022-10-01,Month-to-month,DSL,Electronic check,organic,38.38
3070-FNFZQ,2022-02-01,Two year,No,Bank transfer (automatic),referral,61.08
2812-SFXMJ,2023-12-01,Month-to-month,No,Mailed check,referral,51.55
7675-OZCZG,2023-10-01,Month-to-month,DSL,Electronic check,paid_search,182.77
5014-WUQMG,2020-02-01,One year,Fiber optic,Electronic check,paid_social,224.41
5312-TSZVC,2022-10-01,One year,No,Mailed check,organic,52.19
2003-CKLOR,2018-07-01,Month-to-month,Fiber optic,Electronic check,organic,34.97
0993-OSGPT,2018-05-01,One year,DSL,Bank transfer (automatic),referral,43.52
9254-RBFON,2022-08-01,One year,Fiber optic,Bank transfer (automatic),referral,61.39
1205-WNWPJ,2023-06-01,Month-to-month,DSL,Mailed check,paid_social,237.27
9391-EOYLI,2023-01-01,Month-to-month,Fiber optic,Electronic check,paid_social,232.02
7108-DGVUU,2022-04-01,One year,DSL,Bank transfer (automatic),paid_social,226.89
2782-JEEBU,2022-04-01,Month-to-month,DSL,Mailed check,paid_search,125.37
5127-BZENZ,2019-05-01,One year,DSL,Bank transfer (automatic),paid_search,159.39
2720-FVBQP,2023-07-01,Month-to-month,DSL,Credit card (automatic),organic,26.98
9906-NHHVC,2018-08-01,Two year,DSL,Bank transfer (automatic),referral,63.09
4522-XRWWI,2020-07-01,One year,DSL,Credit card (automatic),organic,40.27
3766-EJLFL,2018-05-01,Two year,Fiber optic,Bank transfer (automatic),paid_social,241.55
5939-SXWHM,2020-01-01,Two year,No,Bank transfer (automatic),organic,30.12
8152-UOBNY,2019-11-01,One year,Fiber optic,Electronic check,organic,43.07
7351-KYHQH,2023-06-01,Month-to-month,DSL,Electronic check,referral,68.97
7643-RCHXS,2018-10-01,Two year,No,Electronic check,referral,79.36
8246-SHFGA,2022-08-01,Month-to-month,No,Credit card (automatic),paid_search,89.16
8387-MOJJT,2020-07-01,Month-to-month,Fiber optic,Credit card (automatic),organic,28.47
0620-XEFWH,2023-09-01,Month-to-month,No,Mailed check,organic,37.76
6485-QXWWE,2018-11-01,Two year,No,Bank transfer (automatic),paid_social,214.02
2761-OCIAX,2023-11-01,Month-to-month,Fiber optic,Electronic check,paid_social,133.87
7321-VGNKU,2023-11-01,Month-to-month,Fiber optic,Electronic check,paid_search,142.87
5327-CNLUQ,2020-01-01,Two year,Fiber optic,Bank transfer (automatic),paid_search,154.09
7552-KEYGT,2021-10-01,Two year,No,Bank transfer (automatic),organic,36.81
5816-JMLGY,2018-03-01,Two year,DSL,Bank transfer (automatic),paid_social,249.28
3068-OMWZA,2023-12-01,Month-to-month,Fiber optic,Electronic check,paid_search,139.11
2927-QRRQV,2020-03-01,One year,Fiber optic,Electronic check,referral,56.15
6032-KRXXO,2021-07-01,Month-to-month,Fiber optic,Electronic check,organic,38.69
7459-RRWQZ,2022-10-01,Month-to-month,DSL,Bank transfer (automatic),organic,34.01
6265-SXWBU,2018-04-01,One year,Fiber optic,Credit card (automatic),referral,31.1
7941-RCJOW,2018-08-01,Two year,No,Credit card (automatic),referral,58.67
6374-NTQLP,2018-01-01,Two year,Fiber optic,Credit card (automatic),organic,31.13
4154-AQUGT,2022-12-01,Month-to-month,Fiber optic,Bank transfer (automatic),referral,33.32
2387-KDZQY,2022-08-01,One year,No,Mailed check,referral,41.65
3584-WKTTW,2019-10-01,One year,Fiber optic,Electronic check,organic,38.44
3399-BMLVW,2019-10-01,Two year,DSL,Credit card (automatic),referral,76.15
1971-DTCZB,2018-01-01,Two year,DSL,Bank transfer (automatic),referral,69.25
3092-IGHWF,2018-06-01,One year,Fiber optic,Electronic check,referral,51.21
3374-PZLXD,2021-03-01,Month-to-month,No,Mailed check,paid_search,72.34
3813-DHBBB,2018-06-01,Two year,DSL,Bank transfer (automatic),referral,51.35
2812-REYAT,2019-12-01,One year,No,Bank transfer (automatic),organic,33.38
6518-PPLMZ,2019-08-01,Two year,No,Mailed check,paid_search,144.42
4939-KYYPY,2021-10-01,Month-to-month,DSL,Electronic check,referral,59.48
8017-LXHFA,2022-02-01,Month-to-month,Fiber optic,Electronic check,referral,34.66
5930-GBIWP,2018-04-01,Two year,DSL,Credit card (automatic),paid_search,160.19
6022-KOUQO,2023-11-01,Month-to-month,DSL,Bank transfer (automatic),paid_search,172.87
6352-TWCAU,2021-02-01,Month-to-month,Fiber optic,Electronic check,paid_social,238.41
2361-UPSND,2020-03-01,One year,DSL,Mailed check,paid_social,224.45
6035-RIIOM,2019-07-01,Two year,Fiber optic,Bank transfer (automatic),paid_search,149.94
2929-QNSRW,2019-05-01,One year,Fiber optic,Electronic check,paid_search,98.02
1262-OPMFY,2023-04-01,Month-to-month,Fiber optic,Bank transfer (automatic),organic,40.51
